,if_trained,win_ratio,episode_reward_mean,steps,config/gamma,config/lr,config/n_hidden_layers,config/random_scaling
0,False,0.0,-0.01,30000,0.6429321044920745,0.3381538660004886,2,0.9996758915938184
1,False,0.0,-0.01,30000,0.9634394487957104,0.2477646826964672,1,0.9995080556877116
2,False,0.0,-0.0297999999999999,30000,0.1278502176306413,0.0038077620563105,2,0.9998001486092865
3,False,0.0,-0.01,30000,1.0896413637009497,0.0017159593249697,2,0.9995951030113496
4,False,0.0,-0.01,30000,1.0712069399496895,0.085835916834808,1,0.9996429880689348
5,False,0.0,-0.01,30000,0.8661881600527119,2.554632307572298e-05,1,0.9996932883674374
6,False,0.0,-0.01,30000,0.1225708589257898,0.0139979971854847,2,0.9997758306755856
7,False,0.0,-0.9604,30000,0.2754528346538609,0.0076829647096619,1,0.9999600857569494
8,False,0.0,-0.01,30000,1.7615002274484195,0.0552439197921312,1,0.999598278069634
9,False,0.0,-0.01,30000,1.5133222203725931,0.1273945273279201,2,0.9997853193656548
10,False,0.0,-0.01,30000,1.5002468807136646,2.6380295940306665e-05,1,0.9997212188109448
11,False,0.0,-0.0396999999999999,30000,0.1633806918537651,0.0013508943695215,1,0.999795513082905
12,False,0.0,-0.01,30000,1.043793449468295,0.0004852534818499,2,0.9997452502646372
13,False,0.0,-0.01,30000,0.1867059025212574,0.0022757296997554,2,0.9997575758039736
14,False,0.0,-0.01,30000,0.1651360985918654,0.0482472028034841,2,0.9996526573436372
15,False,0.0,-0.01,30000,0.2070144579998142,0.0070213709546484,1,0.9996215729338886
16,False,0.0,-0.0990999999999998,30000,0.9923896837900787,0.1056199344999185,1,0.9998951477891126
17,False,0.0,-0.01,30000,1.4201523331746466,0.0015458123147767,2,0.9997230074833044
18,False,0.0,-0.01,30000,1.7480348463032849,2.014815576209728e-05,1,0.9995371364283584
19,False,0.0,-0.0199,30000,1.8417113562031533,0.2154447653216558,1,0.99985706158186
20,False,0.0,-0.5445999999999995,30000,0.5970746888952899,0.0001218713769029,1,0.9998234467457447
21,False,0.0,-0.3070000000000005,30000,1.1827803259001586,0.0247895655778716,1,0.9999165844503128
22,False,0.0,-0.01,30000,0.1282933336489403,0.0466998624759277,1,0.9995931449082964
23,False,0.01,-0.2672000000000004,30000,0.4622827099556696,0.0021432397052196,1,0.9998740751853912
24,False,0.0,-0.01,30000,1.2977867224977024,0.0561111162867689,1,0.9996255510058668
25,False,0.0,-0.01,30000,0.1567895264753695,0.0165690023921189,1,0.9996237193594274
26,False,0.0,-0.01,30000,1.4727594079969806,0.0004150972159699,1,0.9997270378517816
27,False,0.0,-0.0199,30000,0.9182373810574538,0.0015362350728754,2,0.999739198852663
28,False,0.0,-0.01,30000,0.7434210257967419,0.001170155304365,2,0.9996202599603984
29,False,0.04,-0.92,30000,0.247895277202211,0.0002437194807502,1,0.9996984813681832
30,False,0.0,-1.0,30000,1.6122508191725604,0.0329602790122621,2,0.9998265615906032
31,False,0.0,-0.01,30000,1.173721736028401,1.5129672327953871e-05,2,0.9995861852433636
32,False,0.0,-1.0,30000,0.6992660103232805,0.0453870875743961,1,0.9995416645930334
33,False,0.0,-0.01,30000,0.1653453980074516,0.0707238056454616,1,0.9997029239321734
34,False,0.0,-0.01,30000,1.027998697712554,0.122835059742065,1,0.9996781856116186
35,True,0.71,0.42,5081,0.9290491174416302,0.008324696975339,1,0.9997782891020208
36,False,0.0,-0.0693999999999998,30000,0.4197324795305008,0.0001720748361111,2,0.9998019298510372
37,False,0.0,-0.0495999999999998,30000,0.3733165908582321,0.1212374949291871,2,0.9998862590476916
38,False,0.0,-0.6039999999999998,30000,0.1573622973702977,0.0035960750603891,1,0.999765686982886
39,False,0.0,-1.0,30000,0.2473455049724662,0.0378887863351928,2,0.99956675528091
40,False,0.0,-1.0,30000,0.1764780350453074,0.0001031075100616,2,0.9997205847528896
41,False,0.0,-0.0396999999999999,30000,0.4072720256706442,0.0070840569297821,1,0.9997780684078488
42,False,0.0,-0.0594999999999999,30000,1.7268542051153504,0.0048827754968105,2,0.9998067154411232
43,False,0.0,-0.01,30000,0.8495164604325529,0.0053360962329389,2,0.9996787880072384
44,False,0.0,-0.8713000000000001,30000,0.8646900133433162,1.4006101524620536e-05,1,0.9996289920450506
45,False,0.0,-0.01,30000,0.3793606189997634,0.0054999946824404,2,0.9997672713132628
46,False,0.02,-0.96,30000,0.5929944913180015,0.0003991362367752,2,0.9998398280483788
47,False,0.0,-0.0495999999999998,30000,0.1363438069180158,0.253873180398043,1,0.9998645676206388
48,False,0.0,-0.0297999999999999,30000,1.7455507839170006,0.0001459711892257,1,0.9998564577565828
49,False,0.0,-0.01,30000,0.1764179871049245,0.0025394200819503,1,0.9998398574939236
50,False,0.0,-0.01,30000,0.2872822760506955,0.1146244473995302,2,0.9995671909060307
51,False,0.03,-0.94,30000,0.1529637490250278,0.0044881029490943,2,0.9995889919222896
52,False,0.0,-0.01,30000,0.8781078384803666,0.0015079445240741,1,0.9995379728085784
53,False,0.0,-1.0,30000,0.2435036737900988,0.0434386006754544,1,0.9996608279719646
54,False,0.0,-0.01,30000,1.7624853324164442,0.0001049000522652,1,0.9997320302874484
55,False,0.0,-0.01,30000,0.1029824728427666,0.0645324560288929,1,0.9996948118334364
56,False,0.0,-0.01,30000,0.8249080134344877,0.000173328586113,1,0.999707189826582
57,False,0.0,-0.2476000000000003,30000,0.114258424353069,0.1783563851894506,1,0.9998624876682436
58,False,0.0,-0.01,30000,1.76851907345061,0.1733522664878826,2,0.9995974556033712
59,False,0.0,-0.0693999999999998,30000,0.4136452613713096,0.0882459180925758,1,0.9998796528202928
60,False,0.0,-0.3070000000000004,30000,1.6984180942346725,0.0013904745347936,2,0.999917056000489
61,False,0.0,-0.2080000000000002,30000,0.3581003809357341,0.048697114879218,1,0.999910488465492
62,False,0.0,-0.3961,30000,0.934022277197529,1.6417061742262208e-05,1,0.9996838403225784
63,False,0.0,-0.01,30000,0.8728713457173364,0.0905910978154328,2,0.9996910151888726
64,False,0.0,-0.01,30000,0.1916298481672728,0.0008895571978989,1,0.9997006918247698
65,False,0.0,-1.0,30000,0.4632149915967479,1.763914837333703e-05,2,0.9996287493268948
66,False,0.41,-0.18,30000,0.2677309847165141,3.583438994283214e-05,1,0.9996196260689872
67,False,0.0,-1.0,30000,0.8688559293028582,0.0139797099016574,1,0.9999844191947254
68,False,0.15,-0.7,30000,0.1931046440223698,0.0004632822261573,1,0.9999008309179324
69,False,0.16,-0.68,30000,0.1563756248922679,6.048453533896794e-05,1,0.999633302277556
70,False,0.0,-1.0,30000,0.348985690523884,9.973450560320763e-05,1,0.9995430566861742
71,False,0.0,-1.0,30000,0.1056654675880671,0.0027974320434799,2,0.9999176548313498
72,False,0.0,-1.0,30000,0.3074087589238471,0.0155020707632973,2,0.9999842516561064
73,False,0.03,-0.94,30000,0.1546564267346814,9.93342422253282e-05,2,0.9999203463049876
74,False,0.28,-0.44,30000,0.3162738638752472,0.0004800338315775,1,0.9999277422458096
75,False,0.02,-0.96,30000,0.2828673746129952,9.048801037284429e-05,2,0.9997972993675318
76,False,0.0,-0.6039999999999996,30000,1.5915177412269603,0.0778440917382973,1,0.9999446009038824
77,False,0.0,-1.0,30000,0.1242618394065656,0.00063302531668,2,0.9995621965349032
78,False,0.0,-0.01,30000,0.4608206303735836,0.2295263739992638,2,0.9997569438594714
79,False,0.0,-1.0,30000,0.2749294471106079,0.0016065331863113,2,0.9997794731736648
80,False,0.0,-0.01,30000,0.6212225918930153,0.1130091047209987,2,0.9995550533248264
